1360109080;duc06 bal hátsó hátfalszellõzõ;1;NULL;NULL;1;2016-10-27 15:06;NULL;NULL;NULL;1
46797378;Bravo/va,Marea,Stilo/147/156,Ducato üz.szûrõ;1;NULL;NULL;1;2016-10-27 15:07;NULL;NULL;NULL;1
77364063;Duc06 pollenszûrõ;1;NULL;NULL;1;2016-10-27 15:10;NULL;NULL;NULL;1
46476755;Szilent ???;3;NULL;NULL;3;2016-11-05 17:04;NULL;NULL;NULL;1
60504563;Alfa 145/146 1.6 8V gyertya;4;NULL;NULL;4;2016-11-14 20:29;NULL;NULL;NULL;1
60512848;AlfA 164/33/75 2.0tSPARK GYERTYA;16;NULL;NULL;16;2016-11-14 20:35;NULL;NULL;NULL;1
5894587;Seicento,Cinquecento,Tipo,Tempra/UNO gyertya;3;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
71736278;Croma,Tempra/Tipo,UNO,155/164 gyertya;4;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
46531917;Bravo/Brava Marea gyertya;4;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
71735458;Bravo/Brava Marea,Punto,Stilo 156 izzítógyertya;4;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
77362258;Duc02 üzemanyagszûrõ;1;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
8094872;Duc06 2.3JTD olajszûrõ;4;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
46531919;P I gyertya;4;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
46472021;Bravo/va,Marea,multipla,punto,doblo gyertya;4;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
46481273;P I gyertya;4;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
1355707080;duc06 hátfal mûanyag betét;1;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
1364569080;duc06 bal hátsó ajtó gumi ütközõ;1;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
9628890680;scudo 1.9D üzemanyagszûrõ;1;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
71736130;145/146 1.3,1.6 levegõszûrõ;1;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
46754989;Doblo levegõszûrõ;2;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
46737091;Palio,Punto,Doblo üzemanyagszûrõ;3;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
9947995;Bravo/va,multipla,marea,145/146/156/166 üz.szûrõ;1;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
71736120;Cinquecento,punto,panda,seicento,UNO lev.szûrõ;1;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
9456203580;Ulysse 2.0JTD olajszûrõ;1;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
46805828;Cinquecento,panda,seicento,UNO,145/146 olajszûrõ;1;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
71736160;Bravo,Croma,Punto,Tempra,Tipo,UNO olajszûrõ;1;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
9662282580;duc06 olajszûrõ betét 2.2Mjet;1;NULL;112/5;3;2016-11-14 20:37;NULL;NULL;NULL;1
